0|0|1|25
1|0|5|25
2|0|10|25
3|0|20|25
4|0|50|26
5|0|100|26
6|0|200|26
7|1|1|20
8|1|5|20
9|1|10|20
10|1|20|20
11|1|50|10
12|1|100|10
13|1|200|10
14|2|1|5
15|2|5|1
16|2|10|1
17|2|20|1
18|2|50|1
19|2|100|3
20|2|200|1
21|3|200|10
22|4|1|5
23|4|5|3
24|4|10|2
25|4|20|1
26|4|100|7
27|4|200|2
28|5|20|1
29|5|100|1
30|6|200|5
31|7|50|2
32|7|100|2
33|7|200|1
34|8|1|1
35|8|5|3
36|8|10|3
37|8|50|1
38|8|100|1
39|9|20|2
40|9|200|1
41|10|200|5
42|11|10|1
43|11|50|3
44|11|100|2
45|11|200|4
46|12|200|5
47|13|1|1
48|13|5|3
49|13|10|2
50|13|20|1
51|13|50|2
52|13|100|1
53|13|200|2
54|14|1|25
55|14|5|25
56|14|10|25
57|14|20|25
58|14|50|26
59|14|100|26
60|14|200|26
61|15|100|6
62|16|200|10
63|17|200|1
64|18|100|1
65|19|50|6
66|19|100|10
67|20|1|25
68|20|5|25
69|20|10|25
70|20|20|25
71|20|50|26
72|20|100|26
73|20|200|26
74|20|1|25
75|20|5|25
76|20|10|25
77|20|20|25
78|20|50|26
79|20|100|26
80|20|200|26
81|21|200|10
82|22|100|1
83|22|200|2
84|23|100|7
85|24|100|1
86|24|200|2
87|25|1|25
88|25|5|25
89|25|10|25
90|25|20|25
91|25|50|26
92|25|100|26
93|25|200|26
94|26|200|10
95|27|100|8
96|28|200|5
97|29|100|6
98|30|100|2
99|31|200|1
100|32|1|25
101|32|5|25
102|32|10|25
103|32|20|25
104|32|50|26
105|32|100|26
106|32|200|26
107|33|1|25
108|33|5|25
109|33|10|25
110|33|20|25
111|33|50|26
112|33|100|26
113|33|200|26
114|34|1|25
115|34|5|25
116|34|10|25
117|34|20|25
118|34|50|26
119|34|100|26
120|34|200|26
