0|0|99999|Inicializacion|01/09/2024
1|0|99999|Agregar fondos|01/09/2024
2|0|0|Deposito|01/09/2024
3|0|0|Retiro|01/09/2024
4|0|0|Deposito|01/09/2024
5|0|0|Retiro|01/09/2024
6|0|1|Retiro|01/09/2024
7|0|1|Deposito|01/09/2024
8|0|1|Deposito|01/09/2024
9|0|1|Retiro|01/09/2024
10|0|2|Retiro|01/09/2024
11|0|2|Deposito|01/09/2024
12|0|2|Retiro|01/09/2024
13|0|2|Deposito|01/09/2024
14|0|99999|Inicializacion|03/09/2024
15|0|1|Deposito|03/09/2024
16|0|1|Retiro|03/09/2024
17|0|2|Retiro|03/09/2024
18|0|2|Retiro|03/09/2024
19|0|2|Deposito|03/09/2024
20|0|99999|Inicializacion|04/09/2024
21|0|1|Deposito|04/09/2024
22|0|1|Retiro|04/09/2024
23|0|6|Deposito|04/09/2024
24|0|6|Retiro|04/09/2024
25|0|99999|Inicializacion|05/09/2024
26|0|6|Retiro|05/09/2024
27|0|6|Deposito|05/09/2024
28|0|0|Retiro|05/09/2024
29|0|0|Deposito|05/09/2024
30|0|1|Deposito|05/09/2024
31|0|1|Retiro|05/09/2024
32|0|99999|Inicializacion|28/09/2024
33|0|99999|Inicializacion|30/09/2024
34|0|99999|Inicializacion|01/10/2024
